Price,Location,Spare,Length,Width,Direction,Amenities
1.3 tỷ,"DH705, Xã Định Hiệp, Huyện Dầu Tiếng, Bình Dương",231 m²,21 m,11 m,--,1
1.47 tỷ,"Đường Quốc Lộ 13, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",100 m²,20 m,4.99 m,--,1
980 triệu,"Đường Quốc Lộ 13, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",100 m²,20 m,5 m,--,1
1.25 tỷ,"Đường Quốc Lộ 13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",100 m²,20 m,5 m,--,1
3.6 tỷ,"Đường Quốc Lộ 13, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",230 m²,23 m,10 m,--,1
1.63 tỷ,"Xã Đức Lập Thượng, Huyện Đức Hòa, Long An",140 m²,7 m,20 m,--,1
450 triệu,"Ấp Phước Đức B, Xã Phước Đông, Huyện Gò Dầu, Tây Ninh",154.90 m²,25.39 m,5 m,--,1
920 triệu,"Nguyễn Tất Thành, Thị Trấn Ái Nghĩa, Huyện Đại Lộc, Quảng Nam",240 m²,30 m,8.49 m,--,1
860 triệu,"Đường Tỉnh lộ 826, Xã Mỹ Lệ, Huyện Cần Đước, Long An",125 m²,--,--,--,1
1.44 tỷ,"Xã Phan Thanh, Huyện Bắc Bình, Bình Thuận","11,000 m²",--,--,--,0
1.23 tỷ,"Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận","8,459 m²",--,--,Đông,0
1.97 tỷ,"Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận","11,600 m²",--,--,--,0
380 triệu,"Đường Quốc lộ 22B, Xã Trà Vong, Huyện Tân Biên, Tây Ninh",270 m²,54 m,5 m,--,1
299 triệu,"Phường Tân Định, Thị xã Bến Cát, Bình Dương",105 m²,21 m,5 m,--,0
1.3 tỷ,"Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình",145 m²,21 m,6.99 m,T.Bắc,1
1.34 tỷ,"Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận","5,458 m²",--,--,Đông,1
1.98 tỷ,"xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận","11,657 m²",--,--,Đông,0
1.3 tỷ,"xã Hòa Phú, Huyện Tuy Phong, Bình Thuận",78 m²,--,--,Đông,1
790 triệu,"QL50, Xã Quy Đức, Huyện Bình Chánh, TP. Hồ Chí Minh",104 m²,--,--,--,1
681.55 triệu,"Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận","2,727 m²",--,--,Đông,1
1.18 tỷ,"Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận","8,459 m²",--,--,Đông,1
880 triệu,"Quốc lộ 1A, Phường Điện An, Thị xã Điện Bàn, Quảng Nam",100 m²,20 m,5 m,--,1
460 triệu,"Đường ĐT 760, Xã Bom Bo, Huyện Bù Đăng, Bình Phước",105 m²,21 m,4.99 m,T.Bắc,0
2.1 tỷ,"Quốc Lộ 22, Xã Phước Hiệp, Huyện Củ Chi, TP. Hồ Chí Minh","1,000 m²",50 m,20 m,--,1
445 triệu,"Phường Thuận Giao, TP. Thuận An, Bình Dương","1,470 m²",--,--,--,1
680 triệu,"Phường Tiến Thành, TP. Đồng Xoài, Bình Phước",150 m²,--,--,--,0
1.2 tỷ,"Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng",120 m²,20 m,6 m,--,1
810 triệu,"Đường Nguyễn Quang Đại, Xã Mỹ Lệ, Huyện Cần Đước, Long An",95 m²,19 m,5 m,--,1
1.2 tỷ,"DT753, Xã Tân Phước, Huyện Đồng Phú, Bình Phước",150 m²,6 m,25 m,--,1
800 triệu,"DT741, Xã Tiến Hưng, TP. Đồng Xoài, Bình Phước",82.50 m²,16.5 m,5 m,--,0
890 triệu,"Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",100 m²,20 m,5 m,--,0
850 triệu,"Đường 13, Phường Tân Định, Thị xã Bến Cát, Bình Dương",100 m²,20 m,5 m,--,0
2.3 tỷ,"Nguyễn Thị Rành, Xã Phú Mỹ Hưng, Huyện Củ Chi, TP. Hồ Chí Minh",200 m²,33 m,5.99 m,--,1
700 triệu,"Vĩnh Lộc B, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP. Hồ Chí Minh",80 m²,--,--,--,1
950 triệu,"Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam",100 m²,20 m,5 m,Đ.Nam,1
1.3 tỷ,"Phường Tân Bình, TP. Dĩ An, Bình Dương",85 m²,--,--,--,0
2.5 tỷ,"Phường Tân Bình, TP. Dĩ An, Bình Dương",80 m²,--,--,--,0
3 tỷ,"Phường Tân Bình, TP. Dĩ An, Bình Dương",80 m²,--,--,--,0
3 tỷ,"Phường Minh Đức, Quận Đồ Sơn, TP. Hải Phòng",125 m²,--,--,--,0
5.2 tỷ,"Thị trấn Trâu Quỳ, Huyện Gia Lâm, TP. Hà Nội",60 m²,--,--,--,0
4.75 tỷ,"Xã Diên Toàn, Huyện Diên Khánh, Khánh Hòa","1,350 m²",65 m,20 m,Nam,0
2.78 tỷ,"Phường Bùi Thị Xuân, Quận Hai Bà Trưng, TP. Hà Nội",25 m²,--,6 m,--,0
1.8 tỷ,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",120 m²,--,--,--,0
480 triệu,"Xã Bến Củi, Huyện Dương Minh Châu, Tây Ninh",140 m²,28 m,5 m,--,0
500 triệu,"Đường 10, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng",67 m²,16 m,5.1 m,--,1
550 triệu,"Đường 304, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng",80 m²,16 m,5 m,--,1
450 triệu,"Đường 304, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng",65 m²,13 m,5 m,--,1
750 triệu,"Xã Thanh Sơn, Huyện Định Quán, Đồng Nai","1,000 m²",40 m,25 m,--,1
1.5 tỷ,"Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng",150 m²,5 m,26 m,Đ.Bắc,0
1.2 tỷ,"Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng",120 m²,20 m,6 m,--,1
2.5 tỷ,"Đường Trí Yên, Xã Long An, Huyện Cần Giuộc, Long An",125 m²,24.99 m,5 m,--,1
1.8 tỷ,"Đường Nguyễn Thị Bài, Xã Long An, Huyện Cần Giuộc, Long An",150 m²,--,--,--,1
1.45 tỷ,"Lý Thị Chừng, Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh",80 m²,--,--,--,1
2.85 tỷ,"Mỹ Bình, Phan Rang-Tháp Chàm, Ninh Thuận",100 m²,20 m,5 m,--,0
1 tỷ,"Thị trấn Mộc Châu, Huyện Mộc Châu, Sơn La",900 m²,--,--,--,0
1 tỷ,"Thị trấn Mộc Châu, Huyện Mộc Châu, Sơn La",900 m²,--,--,--,0
2.74 tỷ,"Bìa làng Xã Tiền Phong, Huyện Mê Linh, TP. Hà Nội",114 m²,15 m,8 m,--,0
1.05 tỷ,"Phố Khúc Thừa Dụ, Đường Lạc Long Quân, Xã Lộc Quảng, Huyện Bảo Lâm, Lâm Đồng",150 m²,30 m,5 m,--,1
370 triệu,"Đường ĐT 753B, Xã Phú Trung, Huyện Phú Riềng, Bình Phước",300 m²,--,--,--,0
500 triệu,"Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",107 m²,22 m,5 m,--,1
1.03 tỷ,"Đường Tỉnh lộ 8, Xã Khánh Đông, Huyện Khánh Vĩnh, Khánh Hòa",644 m²,--,13.02 m,Đông,1
375 triệu,"Thị trấn Dầu Tiếng, Huyện Dầu Tiếng, Bình Dương","2,250 m²",55 m,45 m,--,1
480 triệu,"Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",50 m²,--,--,--,0
1.66 tỷ,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",120 m²,5 m,23.96 m,--,1
2.45 tỷ,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",120 m²,24 m,4.99 m,--,1
2.36 tỷ,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",120 m²,23.98 m,5 m,--,1
1.8 tỷ,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",106 m²,21.3 m,5 m,--,1
2.36 tỷ,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",120 m²,24 m,4.99 m,--,1
1.8 tỷ,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",106 m²,24 m,4.96 m,--,1
379 triệu,"Đường Quốc lộ 22B, Xã Trà Vong, Huyện Tân Biên, Tây Ninh",275 m²,5 m,55 m,--,1
410 triệu,"Đường Số 10, Xã Long Thành Nam, Huyện Hòa Thành, Tây Ninh",183 m²,30 m,6 m,--,0
1.95 tỷ,"Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh",150 m²,10 m,15 m,Đ.Nam,1
670 triệu,"Đường Tỉnh lộ 826, Xã Mỹ Lệ, Huyện Cần Đước, Long An",129 m²,--,--,--,1
444 triệu,"Đường ĐT 756, Xã Quang Minh, Thị xã Chơn Thành, Bình Phước","1,250 m²",--,--,--,0
1.65 tỷ,"Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, TP. Hồ Chí Minh",115 m²,23 m,5 m,Đ.Nam,1
3 tỷ,"Nguyễn Kiệm, Phường 4, Quận Phú Nhuận, TP. Hồ Chí Minh",65 m²,13 m,5 m,Đông,0
2.05 tỷ,"Đường Quốc lộ 27C, Xã Diên Hòa, Huyện Diên Khánh, Khánh Hòa",96.60 m²,17 m,6 m,Nam,1
1.4 tỷ,"Đường Quốc Lộ 1A, Xã Phước Thể, Huyện Tuy Phong, Bình Thuận",105 m²,19 m,6 m,Đ.Bắc,1
1.2 tỷ,"Võ Văn Môn , Phường 4, TP. Tân An, Long An",72 m²,14.7 m,5 m,--,1
910 triệu,"Hùng Vương, Phường Tân Lợi, TP. Buôn Ma Thuột, Đắk Lắk",132 m²,22 m,6 m,--,1
1.65 tỷ,"Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",300 m²,30 m,10 m,--,0
950 triệu,"Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",100 m²,25 m,5 m,--,0
998 triệu,"Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",100 m²,22 m,5 m,--,0
950 triệu,"Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",80 m²,--,--,--,0
720 triệu,"Xã Phước Lý, Huyện Cần Giuộc, Long An",96 m²,--,--,--,0
560 triệu,"Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",60 m²,--,--,--,0
450 triệu,"Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",48 m²,--,--,--,0
1.35 tỷ,"Xã Phước Lợi, Huyện Bến Lức, Long An",99 m²,22 m,4.5 m,--,1
450 triệu,"Xã Trường Tây, Huyện Hòa Thành, Tây Ninh",168 m²,28 m,6 m,--,1
689 triệu,"Xã Mỹ Đức, Huyện An Lão, TP. Hải Phòng",65 m²,11 m,6 m,Đ.Nam,1
3.7 tỷ,"Đường 768, Xã Bình Hòa, Huyện Vĩnh Cửu, Đồng Nai",230 m²,--,10 m,--,0
250 triệu,"Đường Phú Riềng Đỏ, Xã Phú Trung, Huyện Phú Riềng, Bình Phước",300 m²,40 m,6 m,--,1
580 triệu,"Xã Thạnh Đức, Huyện Gò Dầu, Tây Ninh",125 m²,25 m,5 m,--,0
2.2 tỷ,"Đường 78, Xã Hoà Long, TP. Bà Rịa, Bà Rịa Vũng Tàu",185.80 m²,26 m,7 m,--,1
460 triệu,"Phường An Phú, TP. Thuận An, Bình Dương","1,520 m²",--,--,--,1
500 triệu,"Xã La Ngà, Huyện Định Quán, Đồng Nai","1,840 m²",46 m,40 m,T.Bắc,0
1 tỷ,"Phường Nam Sơn, Quận Kiến An, TP. Hải Phòng",62 m²,--,--,--,0
3.8 tỷ,"Đường Quốc lộ 1A, Thị trấn Diên Khánh, Huyện Diên Khánh, Khánh Hòa",260 m²,--,18 m,Đ.Nam,0
2.4 tỷ,"Xã Tân Quý Tây, Huyện Bình Chánh, TP. Hồ Chí Minh",90 m²,15 m,6 m,--,0
739 triệu,"Xã Tân Phúc, Huyện Ân Thi, Hưng Yên",78 m²,--,5 m,Đ.Bắc,0
580 triệu,"Phường Ninh Thạnh, TP. Tây Ninh, Tây Ninh",280 m²,28 m,9.99 m,Tây,1
2.5 tỷ,"Xã Ninh An, Thị xã Ninh Hòa, Khánh Hòa",472 m²,12 m,33 m,Bắc,0
1.9 tỷ,"Xã Trung An, Huyện Củ Chi, TP. Hồ Chí Minh",103 m²,--,--,--,1
739 triệu,"Xã Tân Phúc, Huyện Ân Thi, Hưng Yên",70 m²,14 m,5 m,Đông,0
23.99 tỷ,"Hưng Gia 1, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh",111 m²,6 m,18.5 m,--,0
300 triệu,"Đường ĐT 756B, Xã Quang Minh, Thị xã Chơn Thành, Bình Phước","2,405 m²",43 m,51.99 m,--,1
800 triệu,"Đường số 26, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",80 m²,--,--,--,1
5.5 tỷ,"Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, TP. Hồ Chí Minh",167.50 m²,20 m,8.49 m,--,0
750 triệu,"Thị trấn Đông Phú, Huyện Quế Sơn, Quảng Nam",108 m²,18 m,6 m,Đ.Bắc,1
490 triệu,"Vĩnh Lộc B, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP. Hồ Chí Minh",86 m²,--,--,--,1
1.02 tỷ,"Phố Khúc Thừa Dụ, đường Lạc Long Quân, Xã Lộc Quảng, Huyện Bảo Lâm, Lâm Đồng",200 m²,--,--,--,0
810 triệu,"Quốc Lộ 50, Xã Quy Đức, Huyện Bình Chánh, TP. Hồ Chí Minh",102 m²,--,--,--,1
899 triệu,"Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,5.98 m,--,0
4.5 tỷ,"Xã Lộc Tân, Huyện Bảo Lâm, Lâm Đồng",200 m²,--,--,--,0
950 triệu,"Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",105 m²,--,--,--,0
900 triệu,"Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",100 m²,--,--,--,0
9 tỷ,"Lạc long quân, Phường Cẩm An, TP. Hội An, Quảng Nam",200 m²,25 m,10 m,--,0
1.25 tỷ,"Đường 826, Xã Long Hòa, Huyện Cần Đước, Long An",154 m²,--,--,--,1
370 triệu,"Đường 19/5, Thị trấn Phước Vĩnh, Huyện Phú Giáo, Bình Dương","3,200 m²",--,--,--,0
450 triệu,"Đường ĐT 760, Xã Bom Bo, Huyện Bù Đăng, Bình Phước",100 m²,20 m,4.99 m,T.Bắc,0
800 triệu,"Đường 1, Phường 9, TP. Mỹ Tho, Tiền Giang","1,000 m²",40 m,25 m,--,1
1.2 tỷ,"Đường 768, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai",106 m²,20 m,5 m,Nam,1
1.96 tỷ,"Phường Hoà Vinh, Huyện Đông Hòa, Phú Yên",140 m²,--,--,--,0
435 triệu,"Phường Thuận Giao, TP. Thuận An, Bình Dương","1,458 m²",--,--,--,1
1.31 tỷ,"Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình",145 m²,21 m,7 m,T.Bắc,1
650 triệu,"Phường Khánh Bình, Thị xã Tân Uyên, Bình Dương",100 m²,6 m,16.66 m,--,1
1.18 tỷ,"Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận","8,459 m²",--,--,--,1
1.2 tỷ,"Xã Hòa Phú, Huyện Tuy Phong, Bình Thuận",76 m²,--,5 m,T.Bắc,0
1.87 tỷ,"Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận","11,000 m²",--,--,--,0
681.5 triệu,"Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận","2,726 m²",--,--,--,0
